Driver,Tim Greven
Vehicle,audir8gt3
Venue,imola gp
Session,Test
Session Date,01/02/2021
Session Time,19:50:41
Sample Rate,60,Hz
Session Duration,37.8,s

AirTemp,AirDensity,LapBestNLapLap,LFwearL,Alt,LFtempM,LFpressure,AirPressure,LapDeltaToBestLap,LRtempM,Clutch,Brake,CFSRrideHeight,BrakeRaw,LFtempL,LapDeltaToBestLap_OK,CpuUsageBG,LFTiresUsed,IsOnTrack,FastRepairAvailable,LRtempR,DriverMarker,Lap,dpFuelAddKg,LapBestNLapTime,EngineWarnings,EnterExitReset,FastRepairUsed,FogLevel,LFbrakeLinePress,FrameRate,LFtempCL,SessionFlags,FrontTireSetsAvailable,Gear,LFshockDefl,FrontTireSetsUsed,TireRR_RumblePitch,LapBestLap,FuelLevel,LRwearL,LRpressure,RFcoldPressure,FuelLevelPct,RRcoldPressure,LFtempCR,FuelPress,FuelUsePerHour,LRwearM,HandbrakeRaw,IsOnTrackCar,LFTiresAvailable,LRtempCM,LRspeed,LRshockVel,LFcoldPressure,LFrideHeight,LFshockVel,LRtempCL,LFspeed,LFtempCM,LFtempR,RightTireSetsUsed,LFwearM,LFwearR,LRTiresAvailable,RRTiresAvailable,LRTiresUsed,LRbrakeLinePress,SteeringWheelAngleMax,LRcoldPressure,LRrideHeight,YawRate,LRshockDefl,LRtempCR,LRtempL,SteeringWheelPctTorque,LRwearR,LapBestLapTime,PitOptRepairLeft,LapCompleted,LapCurrentLapTime,dcTractionControl,LapDeltaToSessionBestLap_OK,LapDeltaToBestLap_DD,LapDeltaToOptimalLap,LapDeltaToOptimalLap_DD,LapDeltaToOptimalLap_OK,LapDist,LapDeltaToSessionBestLap,LapDeltaToSessionBestLap_DD,WaterLevel,LapDeltaToSessionLastlLap,LapDeltaToSessionLastlLap_DD,Voltage,LapDeltaToSessionLastlLap_OK,LapDeltaToSessionOptimalLap,PlayerCarPosition,PlayerCarClassPosition,PitSvRFP,LapDeltaToSessionOptimalLap_DD,LapDeltaToSessionOptimalLap_OK,LapDistPct,SteeringWheelPctTorqueSignStops,RRshockVel,LapLasNLapSeq,LapLastLapTime,LapLastNLapTime,Roll,Lat,LatAccel,LeftTireSetsAvailable,RRtempM,LeftTireSetsUsed,SessionTime,PitRepairLeft,Lon,PlayerCarMyIncidentCount,LongAccel,ManifoldPress,RFtempCR,ManualBoost,ManualNoBoost,OilLevel,OilPress,OilTemp,SessionTimeOfDay,OnPitRoad,PaceMode,PitSvFlags,PitSvLRP,PitSvFuel,PitSvLFP,RightTireSetsAvailable,PitSvRRP,PitSvTireCompound,Pitch,dpRRTireChange,PitchRate,PitsOpen,PlayerCarTeamIncidentCount,PitstopActive,TireSetsAvailable,PlayerCarDriverIncidentCount,PlayerCarDryTireSetLimit,PlayerCarIdx,PlayerCarPowerAdjust,PlayerCarInPitStall,RFshockDefl,PlayerCarPitSvStatus,PlayerCarTowTime,PlayerCarWeightPenalty,PlayerTireCompound,dpFastRepair,PlayerTrackSurface,PlayerTrackSurfaceMaterial,PushToPass,RFTiresAvailable,RFTiresUsed,RFbrakeLinePress,RFpressure,RFrideHeight,RFshockVel,RFspeed,RFtempCL,RFtempCM,RFtempL,RFtempM,RFtempR,RFwearL,RFwearM,RFwearR,RPM,RRTiresUsed,RRbrakeLinePress,dpLRTireColdPress,RRpressure,RRrideHeight,RRshockDefl,RRspeed,RRtempCL,RRtempCM,WindVel,RRtempCR,RRtempL,RRtempR,RRwearL,dpLRTireChange,RRwearM,RRwearR,RearTireSetsAvailable,RearTireSetsUsed,RelativeHumidity,RollRate,SessionLapsRemain,SessionLapsRemainEx,SessionNum,SessionState,SessionTick,SessionTimeRemain,SessionUniqueID,ShiftGrindRPM,ShiftIndicatorPct,ShiftPowerPct,Skies,Speed,dpFuelFill,SteeringWheelAngle,SteeringWheelPctDamper,SteeringWheelPctTorqueSign,SteeringWheelTorque,Throttle,ThrottleRaw,TireLF_RumblePitch,TireLR_RumblePitch,TireRF_RumblePitch,TireSetsUsed,TrackTemp,TrackTempCrew,VelocityX,VelocityY,VelocityZ,VertAccel,WaterTemp,WeatherType,WindDir,Yaw,YawNorth,dcABS,dcBrakeBias,dcPitSpeedLimiterToggle,dcHeadlightFlash,dcStarter,dcThrottleShape,dcTractionControlToggle,dpLFTireChange,dpLFTireColdPress,dpRFTireChange,dpRFTireColdPress,dpRRTireColdPress,dpWindshieldTearoff
C,kg/m^3,,%,m,C,kPa,mmHg,s,C,%,%,m,%,C,,%,,,,C,,,kg,s,irsdk_EngineWarnings,,,%,bar,fps,C,irsdk_Flags,,,m,,Hz,,l,%,kPa,kPa,%,kPa,C,bar,kg/h,%,%,,,C,m/s,m/s,kPa,m,m/s,C,m/s,C,C,,%,%,,,,bar,rad,kPa,m,rad/s,m,C,C,%,%,s,s,,s,,,s/s,s,s/s,,m,s,s/s,l,s,s/s,V,,s,,,kPa,s/s,,%,%,m/s,,s,s,rad,deg,G,,C,,s,s,deg,,G,bar,C,,,l,bar,C,s,,irsdk_PaceMode,irsdk_PitSvFlags,kPa,l,kPa,,kPa,,rad,,rad/s,,,,,,,,%,,m,irsdk_PitSvStatus,s,kg,,,irsdk_TrkLoc,irsdk_TrkSurf,,,,bar,kPa,m,m/s,m/s,C,C,C,C,C,%,%,%,rpm,,bar,Pa,kPa,m,m,m/s,C,C,m/s,C,C,C,%,,%,%,,,%,rad/s,,,,irsdk_SessionState,,s,,RPM,%,%,,m/s,,rad,%,%,Nm,%,%,Hz,Hz,Hz,,C,C,m/s,m/s,m/s,G,C,,rad,rad,rad,,,,,,,,,Pa,,Pa,Pa,

25.14,1.22628,0,100,42.1639,44.9954,141.342,29.7725,0,44.9954,0,100,0.0784517,0,44.9954,0,12.6,0,1,0,44.9954,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.022789,0,0,0,60,100,141.343,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.0128314,-0.133549,141.343,0.0805038,-0.0303577,44.2759,0,44.2742,44.9954,0,100,100,1,1,0,65.7753,11.6155,141.343,0.0776961,6.92218e-05,0.0390923,44.2759,44.9954,0.188916,100,0,0,-1,0,6,0,0,0,0,0,44.6803,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919063,-0.24943,-0.0979499,0,0,0,-0.00353034,44.3444095058264,-0.000161209,1,44.9951,0,83.9000005086231,0,11.7159905547439,0,-0.0645677,1.00819,44.2742,0,0,9,0,77,48983,1,4,0,141.343,0,141.343,1,141.343,0,-0.00364759,0,0.0743044,1,0,0,1,0,0,0,0,1,0.0227624,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.0776403,-0.0361927,0,44.2742,44.2742,44.9954,44.9954,44.9954,100,100,100,300,0,65.7753,141.342,141.343,0.0782984,0.0398033,0.0033643,44.2759,44.2759,2.93243,44.2759,44.9951,44.9951,100,0,100,100,1,0,46.7157,-0.00801858,32767,32767,0,4,5093,604800,1,0,0,0,0,0.0091492,0,-0.0142856,0,-0.188916,0.0773182,0,0,0,0,0,0,37.7778,37.7778,-0.00909423,0.00100145,-0.256379,0.292593,77,1,4.67385,0.161184,4.74859,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
25.14,1.22628,0,100,42.1639,44.9954,141.342,29.7725,0,44.9953,0,100,0.0695179,0,44.9954,0,11.1,0,1,0,44.9953,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.0227301,0,0,0,60,100,141.343,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.0580214,0.055134,141.343,0.0725541,0.0655364,44.2759,0.0308386,44.2742,44.9954,0,100,100,1,1,0,65.7753,11.6155,141.343,0.0754378,0.000563857,0.0394734,44.2759,44.9954,0.233779,100,0,0,-1,0,6,0,0,0,0,0,44.6801,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919059,-0.309325,0.0563859,0,0,0,-0.00392859,44.3444095058264,-0.00324947,1,44.9951,0,83.9166671752898,0,11.7159905547439,0,0.01313,1.00819,44.2742,0,0,9,2.53469e-06,77,48983,1,4,0,141.343,0,141.343,1,141.343,0,-0.00156129,0,0.178346,1,0,0,1,0,0,0,0,1,0.0228719,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.0701639,0.0892353,0.0254693,44.2742,44.2742,44.9954,44.9954,44.9954,100,100,100,300,0,65.7753,141.342,141.342,0.0763835,0.0403729,0.0573831,44.2759,44.2759,2.93242,44.2759,44.9951,44.9951,100,0,100,100,1,0,46.7157,-0.0450081,32767,32767,0,4,5094,604800,1,0,0,0,0,0.0130645,0,-0.0140431,0,-0.233779,-0.309714,0,0,0,0,0,0,37.7778,37.7778,-0.0130273,0.000985852,-0.312642,0.888779,77,1,4.67385,0.16118,4.74859,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
25.14,1.22628,0,100,42.1639,44.9954,141.342,29.7725,0,44.9952,0,100,0.0576772,0,44.9954,0,9.59996,0,1,0,44.9951,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.0257148,0,0,0,60,100,141.342,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.075507,0.031073,141.343,0.0623004,0.304887,44.2759,0.00189586,44.2742,44.9954,0,100,100,1,1,0,65.7753,11.6155,141.343,0.074652,0.00175052,0.0405328,44.2759,44.9954,0.102891,100,0,0,-1,0,6,0,0,0,0,0,44.6799,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919056,-0.136315,0.0555947,0,0,0,-0.00466029,44.3444095058264,0.022297,1,44.995,0,83.9333338419565,0,11.7159905547439,0,0.0635504,1.00819,44.2742,0,0,9,0.000218835,77,48983,1,4,0,141.343,0,141.343,1,141.343,0,0.00190091,0,0.224788,1,0,0,1,0,0,0,0,1,0.0262687,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.0608031,0.313208,0.00404079,44.2742,44.2742,44.9954,44.9954,44.9954,100,100,100,300,0,65.7753,141.342,141.342,0.0762461,0.0411698,0.0646051,44.2759,44.2759,2.93241,44.2759,44.9949,44.9951,100,0,100,100,1,0,46.7157,-0.0330343,32767,32767,0,4,5095,604800,1,0,0,0,0,0.00594698,0,-0.0140431,0,-0.102891,-0.0798087,0,0,0,0,0,0,37.7778,37.7778,-0.00416726,0.0042427,-0.291456,1.28913,77,1,4.67385,0.161183,4.74859,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
25.14,1.22628,0,100,42.1639,44.9955,141.342,29.7725,0,44.9951,0,100,0.0463325,0,44.9954,0,8.19996,0,1,0,44.995,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.031851,0,0,0,60,100,141.342,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.0666961,0.0254082,141.343,0.0528707,0.38204,44.2759,0.0237996,44.2742,44.9954,0,100,100,1,1,0,65.7753,11.6155,141.343,0.0750869,0.00188854,0.0412266,44.2759,44.9953,0.108706,100,0,0,-1,0,6,0,0,0,0,0,44.6799,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919056,-0.143723,0.0126368,0,0,0,-0.00498202,44.3444095058264,0.0167063,1,44.9948,0,83.9500005086231,0,11.7159905547439,0,0.0683021,1.00819,44.2742,0,0,9,0.000221777,77,48983,1,4,0,141.343,0,141.343,1,141.343,0,0.00553755,0,0.20177,1,0,0,1,0,0,0,0,1,0.0321203,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.0517856,0.347937,0.0163159,44.2742,44.2742,44.9954,44.9955,44.9954,100,100,100,300,0,65.7753,141.342,141.342,0.0769633,0.0416143,0.0603357,44.2759,44.2759,2.9324,44.2759,44.9948,44.995,100,0,100,100,1,0,46.7157,-0.00899022,32767,32767,0,4,5096,604800,1,0,0,0,0,0.012424,0,-0.0142856,0,-0.108706,-0.0908217,0,0,0,0,0,0,37.7778,37.7778,0.00886172,0.00870773,-0.218311,1.52738,77,1,4.67385,0.161197,4.74858,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
25.14,1.22628,0,100,42.1639,44.9956,141.342,29.7725,0,44.9949,0,100,0.0378411,0,44.9954,0,6.69996,0,1,0,44.9948,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.0373368,0,0,0,60,100,141.342,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.0434273,-0.0171458,141.343,0.0460349,0.259978,44.2759,0.0125585,44.2742,44.9955,0,100,100,1,1,0,65.7753,11.6155,141.343,0.0760787,0.00135101,0.0414147,44.2759,44.9952,0.0886486,100,0,0,-1,0,6,0,0,0,0,0,44.6801,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919061,-0.117386,-0.0359281,0,0,0,-0.00504806,44.3444095058264,0.00104811,1,44.9947,0,83.9666671752898,0,11.7159905547439,0,0.041518,1.00819,44.2742,0,0,9,0.000188511,77,48983,1,4,0,141.343,0,141.343,1,141.343,0,0.00843349,0,0.142455,1,0,0,1,0,0,0,0,1,0.0371384,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.0450263,0.246432,0.00900575,44.2742,44.2742,44.9955,44.9955,44.9954,100,100,100,300,0,65.7753,141.342,141.342,0.0780009,0.0413153,0.0382596,44.2759,44.2759,2.93239,44.2759,44.9947,44.9949,100,0,100,100,1,0,46.7157,0.0010291,32767,32767,0,4,5097,604800,1,0,0,0,0,0.0222111,0,-0.0142856,0,-0.0886486,-0.0531802,0,0,0,0,0,0,37.7778,37.7778,0.0194957,0.0106419,-0.125559,1.57298,77,1,4.67385,0.16121,4.74856,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
25.14,1.22628,0,100,42.1639,44.9957,141.342,29.7725,0,44.9949,0,100,0.0330194,0,44.9954,0,5.19996,0,1,0,44.9948,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.0404773,0,0,0,60,100,141.342,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.0206611,-0.0374628,141.343,0.0423499,0.12394,44.2759,0.00109961,44.2742,44.9956,0,100,100,1,1,0,65.7753,11.6155,141.343,0.0772307,0.000388317,0.0408899,44.2759,44.9952,0.00929796,100,0,0,-1,0,6,0,0,0,0,0,44.6805,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919068,0.0123486,-0.0408054,0,0,0,-0.00490083,44.3444095058264,-0.0109318,1,44.9946,0,83.9833338419565,0,11.7159905547439,0,0.00327245,1.00819,44.2742,0,0,9,0.000161712,77,48983,1,4,0,141.343,0,141.343,1,141.343,0,0.0102335,0,0.073227,1,0,0,1,0,0,0,0,1,0.0403179,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.041166,0.135443,0.00378759,44.2742,44.2742,44.9956,44.9956,44.9954,100,100,100,300,0,65.7753,141.342,141.342,0.0790232,0.0406478,0.0197696,44.2759,44.2759,2.93238,44.2759,44.9946,44.9948,100,0,100,100,1,0,46.7157,0.0151734,32767,32767,0,4,5098,604800,1,0,0,0,0,0.0266375,0,-0.0142856,0,0.00929796,0.0517831,0,0,0,0,0,0,37.7778,37.7778,0.024416,0.0106496,-0.0357389,1.52918,77,1,4.67385,0.161216,4.74856,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
25.14,1.22628,0,100,42.1639,44.9957,141.342,29.7725,0,44.9949,0,100,0.0317759,0,44.9954,0,4.89996,0,1,0,44.9948,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.0418525,0,0,0,60,100,141.342,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.00164178,-0.0409887,141.343,0.0416404,0.0557922,44.2759,0.00313009,44.2742,44.9956,0,100,100,1,1,0,65.7753,11.6155,141.343,0.078314,-0.00102526,0.0402261,44.2759,44.9952,0.101594,100,0,0,-1,0,6,0,0,0,0,0,44.6809,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919076,0.135132,-0.036594,0,0,0,-0.00468461,44.3444095058264,-0.0252977,1,44.9947,0,84.0000005086231,0,11.7159905547439,0,-0.0412508,1.00819,44.2742,0,0,9,0.000140835,77,48984,1,4,0,141.343,0,141.343,1,141.343,0,0.010913,0,0.0112685,1,0,0,1,0,0,0,0,1,0.0418037,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.0401895,0.0578616,0.00408777,44.2742,44.2742,44.9956,44.9957,44.9954,100,100,100,300,0,65.7753,141.342,141.342,0.0799158,0.0400067,0.00232882,44.2759,44.2759,2.93237,44.2759,44.9946,44.9948,100,0,100,100,1,0,46.7157,0.0069279,32767,32767,0,4,5099,604800,1,0,0,0,0,0.0239775,0,-0.0142856,0,0.101594,0.0976459,0,0,0,0,0,0,37.7778,37.7778,0.0225772,0.00807417,0.0418359,1.42318,77,1,4.67385,0.161208,4.74856,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
25.14,1.22628,0,100,42.1639,44.9958,141.342,29.7725,0,44.9949,0,100,0.0333628,0,44.9954,0,4.89996,0,1,0,44.9948,0,0,0,0,12,1,0,0,71.2566,0,44.2742,268435968,1,0,0.0424399,0,0,0,60,100,141.342,141.343,50,141.343,44.2742,5.83,0,100,0,1,1,44.2759,0.0118927,-0.0383261,141.343,0.04309,0.00771397,44.2759,0.00792048,44.2742,44.9957,0,100,100,1,1,0,65.7753,11.6155,141.343,0.0792372,-0.00205802,0.0395607,44.2759,44.9951,0.144921,100,0,0,-1,0,6,0,0,0,0,0,44.6812,0,0,19.66,0,0,13.4,0,0,0,0,141.343,0,0,0.919082,0.192665,-0.0374367,0,0,0,-0.00469536,44.3444095058264,-0.0280731,1,44.9946,0,84.0166671752898,0,11.7159904294176,0,-0.0799637,1.00819,44.2742,0,0,9,0.00011971,77,48984,1,4,0,141.343,0,141.343,1,141.343,0,0.0107136,0,-0.0316863,1,0,0,1,0,0,0,0,1,0.0424282,0,0,0,0,0,1,5,0,1,0,71.2566,141.342,0.0416619,0.0113803,0.00923673,44.2742,44.2742,44.9956,44.9957,44.9954,100,100,100,300,0,65.7753,141.342,141.342,0.0808465,0.0393963,0.0115011,44.2759,44.2759,2.93236,44.2759,44.9946,44.9948,100,0,100,100,1,0,46.7157,-0.00650392,32767,32767,0,4,5100,604800,1,0,0,0,0,0.0143206,0,-0.0142856,0,0.144921,0.141009,0,0,0,0,0,0,37.7778,37.7778,0.0136605,0.00429792,0.0985289,1.29235,77,1,4.67386,0.161182,4.74859,11,52,0,0,0,1,0,0,141.342,0,141.342,141.342,0
